오대영라이브,소계,소계,14326.69,13895.34,0,24.69,3.21,7.62,155.7,68.63,1010.98,589.2,3841.97,2772.78,3028.61,2391.97,431.36,0,85.89,38.19,1.82,10.23,2.19,75.33,41.03,15.17,66.6,90,4.91,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
오대영라이브,JTBC,소계,14326.69,13895.34,0,24.69,3.21,7.62,155.7,68.63,1010.98,589.2,3841.97,2772.78,3028.61,2391.97,431.36,0,85.89,38.19,1.82,10.23,2.19,75.33,41.03,15.17,66.6,90,4.91,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
오대영라이브,JTBC,live,4361.49,4141.44,0,23.32,0.18,2.51,80.23,25.07,316.24,83.37,1070.41,1075.13,1209.55,255.44,220.05,0,33.25,37.23,1.07,0.65,0,32.46,7.43,8.06,46.32,53.57,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
오대영라이브,JTBC,vod,9965.2,9753.9,0,1.37,3.02,5.11,75.46,43.56,694.74,505.84,2771.55,1697.65,1819.06,2136.53,211.31,0,52.64,0.96,0.75,9.58,2.19,42.87,33.59,7.11,20.28,36.43,4.91,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진의돌직구쇼,소계,소계,14259.75,13761.86,19.26,3.8,18.93,89.57,937.74,99.92,629.95,732.78,1671.41,1098.14,2589.52,5870.84,497.88,0,0,0,12.34,213.01,0,103.71,0.87,60.2,31.29,70.31,6.16,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진의돌직구쇼,채널A,소계,14259.75,13761.86,19.26,3.8,18.93,89.57,937.74,99.92,629.95,732.78,1671.41,1098.14,2589.52,5870.84,497.88,0,0,0,12.34,213.01,0,103.71,0.87,60.2,31.29,70.31,6.16,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진의돌직구쇼,채널A,live,4638.56,4408.1,9.43,0,0.51,41.06,579.21,7.42,237.98,147.69,550.86,202.06,888.68,1743.19,230.46,0,0,0,0,23.8,0,69.68,0.87,58.84,31.29,45.99,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진의돌직구쇼,채널A,vod,9621.19,9353.77,9.83,3.8,18.42,48.5,358.53,92.5,391.97,585.09,1120.56,896.09,1700.84,4127.65,267.42,0,0,0,12.34,189.21,0,34.04,0,1.36,0,24.32,6.16,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스A,소계,소계,13915.05,13198.44,31.83,0,79.03,228.02,1293.74,227.51,1166.18,644.25,2207.52,1265.19,3352.26,2702.9,716.61,21.41,6.66,43.24,0,171.85,0,114.77,8.78,41.71,20.39,251.92,35.86,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스A,채널A,소계,13915.05,13198.44,31.83,0,79.03,228.02,1293.74,227.51,1166.18,644.25,2207.52,1265.19,3352.26,2702.9,716.61,21.41,6.66,43.24,0,171.85,0,114.77,8.78,41.71,20.39,251.92,35.86,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스A,채널A,live,4738.17,4503.77,19.67,0,13.62,42.71,632.05,22.51,621.5,149.02,643.08,685.93,1016.73,656.94,234.4,16.44,6.66,0,0,42.9,0,77.68,8.78,35.77,0,45.88,0.3,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴스A,채널A,vod,9176.88,8694.67,12.17,0,65.41,185.31,661.68,204.99,544.68,495.23,1564.44,579.27,2335.52,2045.97,482.21,4.97,0,43.24,0,128.96,0,37.1,0,5.94,20.39,206.05,35.57,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS8뉴스,소계,소계,13201.41,12701.61,140.58,0,393.57,377.74,1587.3,206.47,2081.79,504.14,2788.25,1280.05,1671.96,1669.77,499.8,113.9,8.83,3.84,0.58,60.98,0,151.71,10.47,55.35,32.33,41.81,20,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS8뉴스,SBS,소계,13201.41,12701.61,140.58,0,393.57,377.74,1587.3,206.47,2081.79,504.14,2788.25,1280.05,1671.96,1669.77,499.8,113.9,8.83,3.84,0.58,60.98,0,151.71,10.47,55.35,32.33,41.81,20,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS8뉴스,SBS,live,3695.94,3559.18,67.32,0,233.5,62.79,323.39,20.18,587.78,154.79,838.96,423.44,534.09,312.94,136.76,0,4.96,0,0,14.8,0,61.08,2.9,24.1,1.69,18.35,8.88,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
