station_code,people_in,people_out,geo.latitude,geo.longitude
320.0,63806.0,64969.0,37.566295,126.99191
321.0,0.0,0.0,37.561243,126.99428
322.0,49329.0,51755.0,37.559052,127.005602
323.0,84446.0,83307.0,37.55434,127.010655
324.0,55806.0,53907.0,37.548034,127.015872
325.0,60496.0,64095.0,37.540685,127.017965
326.0,212412.0,218440.0,37.527072,127.028461
327.0,205860.0,208519.0,37.516334,127.020114
328.0,30630.0,30666.0,37.512759,127.01122
329.0,285785.0,268000.0,37.50481,127.004943
330.0,82291.0,54891.0,37.493415,127.01408
331.0,194011.0,194450.0,37.485013,127.016189
332.0,244128.0,258456.0,37.484147,127.034631
333.0,81238.0,76848.0,37.486947,127.046769
334.0,36185.0,36449.0,37.490858,127.055381
335.0,73682.0,71851.0,37.494612,127.063642
336.0,12004.0,12221.0,37.496663,127.070594
337.0,63671.0,59597.0,37.493514,127.079532
338.0,64445.0,64801.0,37.483681,127.08439
339.0,110154.0,112609.0,37.487371,127.10188
340.0,61490.0,59932.0,37.492522,127.118234
341.0,52584.0,53218.0,37.495918,127.12454
342.0,41424.0,38184.0,37.502162,127.128111
409.0,85018.0,80122.0,37.670272,127.079066
410.0,130406.0,123664.0,37.660878,127.073572
411.0,127964.0,141988.0,37.655128,127.061368
412.0,173764.0,186094.0,37.653166,127.047731
413.0,201796.0,189566.0,37.648627,127.034709
414.0,236490.0,236677.0,37.638052,127.025732
415.0,101777.0,100531.0,37.62667,127.025983
416.0,190798.0,189687.0,37.613292,127.030053
417.0,129849.0,129792.0,37.603407,127.025053
418.0,131706.0,129074.0,37.592624,127.016403
419.0,86094.0,86796.0,37.588458,127.006221
420.0,187541.0,183800.0,37.582336,127.001844
421.0,122180.0,125402.0,37.57142,127.009745
422.0,97104.0,90178.0,37.565138,127.007896
423.0,161664.0,164314.0,37.561243,126.99428
424.0,106089.0,107826.0,37.560989,126.986325
425.0,139323.0,142342.0,37.558514,126.978246
426.0,65297.0,88418.0,37.554648,126.972559
427.0,79258.0,79083.0,37.54456,126.972106
428.0,29418.0,32653.0,37.534777,126.97311
429.0,97631.0,99332.0,37.52917,126.967894
430.0,43058.0,48597.0,37.522272,126.974345
431.0,20533.0,23154.0,37.502971,126.979306
432.0,128042.0,139213.0,37.486263,126.981989
433.0,159236.0,136693.0,37.47653,126.981685
434.0,9733.0,8043.0,37.463873,126.989134
2511.0,45625.0,43767.0,37.577446,126.812741
2512.0,30808.0,30510.0,37.572399,126.806171
2513.0,46799.0,43491.0,37.562434,126.801058
2514.0,39592.0,38179.0,37.561184,126.811973
2515.0,52084.0,50747.0,37.560183,126.825448
2516.0,103514.0,104810.0,37.558598,126.837668
2517.0,78029.0,80103.0,37.548768,126.836318
2518.0,166443.0,158313.0,37.541513,126.840461
2519.0,174648.0,173351.0,37.531768,126.846683
2520.0,81812.0,67932.0,37.524997,126.856191
2521.0,96349.0,106136.0,37.526065,126.864931
2522.0,129363.0,137535.0,37.524496,126.875181
2523.0,42811.0,43728.0,37.525648,126.885778
2524.0,24100.0,24151.0,37.52497,126.895951
2525.0,55148.0,57028.0,37.522669,126.905139
2526.0,23352.0,26542.0,37.517122,126.917169
2527.0,139151.0,141507.0,37.521624,126.924191
2528.0,41193.0,41508.0,37.527098,126.932901
2529.0,78434.0,79989.0,37.539574,126.945932
2530.0,75066.0,79843.0,37.544018,126.951592
2531.0,37728.0,38534.0,37.553736,126.95682
2532.0,25632.0,26125.0,37.559973,126.963672
2533.0,96498.0,97699.0,37.565773,126.966641
